zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
36701,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36066,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36067,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36064,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36068,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35180,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35181,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35182,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35184,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35185,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35186,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35187,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36512,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35449,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35448,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35441,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35440,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35442,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35444,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35447,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35446,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35253,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36685,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36652,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36736,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35560,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35565,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35953,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35952,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35954,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35188,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36849,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35296,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
