Testcase,Points,Notes,Description
"Correct rtn. code of symbolic file - 2
","2
",,Correct rtn. code of symbolic file
"Incorrect rtn. code of mismatched output encodings for preexisting file - 0
","0
",,Incorrect rtn. code of mismatched output encodings for preexisting file
"Program supports OUT_FILE - 4
","4
",,Program supports OUT_FILE
"make debug 
","
",,make
"Makefile does not support make debug - 0
","0
",,Makefile does not support make debug
"Valgrind reported open file descriptors at exit - 0
","0
",,Valgrind reported open file descriptors at exit
"No memory errors or warnings (free, still reachable, etc) - 2
","2
",,"No memory errors or warnings (free, still reachable, etc)"
"No valgrind errors - 2
","2
",,No valgrind errors
"*****Your makefile does not generate the bin/build directories*****
","directories*****
",,*****Your makefile does not generate the
"Program Successfully Compiles - 2
","2
",,Program Successfully Compiles
"ASCII.txt: Program successfully converted UTF-16LE to UTF-16BE - 1
","1
",,ASCII.txt: Program successfully converted UTF-16LE to UTF-16BE
"Nonsurrogates.txt: Program successfully converted UTF-16LE to UTF-16BE - 1
","1
",,Nonsurrogates.txt: Program successfully converted UTF-16LE to UTF-16BE
"Mixed.txt: Program successfully converted UTF-16LE to UTF-16BE - 1
","1
",,Mixed.txt: Program successfully converted UTF-16LE to UTF-16BE
"Surrogates.txt: Program successfully converted UTF-16LE to UTF-16BE - 1
","1
",,Surrogates.txt: Program successfully converted UTF-16LE to UTF-16BE
"ASCII.txt: Program successfully converted UTF-16BE to UTF-16LE - 1
","1
",,ASCII.txt: Program successfully converted UTF-16BE to UTF-16LE
"Nonsurrogates.txt: Program successfully converted UTF-16BE to UTF-16LE - 1
","1
",,Nonsurrogates.txt: Program successfully converted UTF-16BE to UTF-16LE
"Mixed.txt: Program successfully converted UTF-16BE to UTF-16LE - 1
","1
",,Mixed.txt: Program successfully converted UTF-16BE to UTF-16LE
"Surrogates.txt: Program successfully converted UTF-16BE to UTF-16LE - 1
","1
",,Surrogates.txt: Program successfully converted UTF-16BE to UTF-16LE
"ASCII.txt: Program successfully converted UTF-8 to UTF-16LE - 2.5
","2.5
",,ASCII.txt: Program successfully converted UTF-8 to UTF-16LE
"Nonsurrogates.txt: Program successfully converted UTF-8 to UTF-16LE - 2.5
","2.5
",,Nonsurrogates.txt: Program successfully converted UTF-8 to UTF-16LE
"Mixed.txt: Program successfully converted UTF-8 to UTF-16LE - 2.5
","2.5
",,Mixed.txt: Program successfully converted UTF-8 to UTF-16LE
"ASCII.txt: Program successfully converted UTF-8 to UTF-16BE - 2.5
","2.5
",,ASCII.txt: Program successfully converted UTF-8 to UTF-16BE
"Nonsurrogates.txt: Program successfully converted UTF-8 to UTF-16BE - 2.5
","2.5
",,Nonsurrogates.txt: Program successfully converted UTF-8 to UTF-16BE
"Mixed.txt: Program successfully converted UTF-8 to UTF-16BE - 2.5
","2.5
",,Mixed.txt: Program successfully converted UTF-8 to UTF-16BE
Total,88.0,,
